"channel","label","threshold","mean_value"
"ILR1","AMP",4.8,0.932911795336679
"ILR1","AMP",4.9,0.924546878296048
"ILR1","AMP",5,0.916980491619813
"ILR1","AMP",5.1,0.910542883118697
"ILR1","AMP",5.2,0.90556430060342
"ILR1","AMP",5.3,0.902374991884703
"ILR1","AMP",5.4,0.90126775209222
"ILR1","AMP",5.5,0.901906288353691
"ILR1","AMP",5.6,0.90343231105474
"ILR1","AMP",5.7,0.90497173023118
"ILR1","AMP",5.8,0.905650455918822
"ILR1","AMP",5.9,0.904595149826524
"ILR1","AMP",6,0.901314323571152
"ILR1","AMP",6.1,0.896318468941564
"ILR1","AMP",6.2,0.890280439104825
"ILR1","AMP",6.3,0.883873087228002
"ILR1","AMP",6.4,0.877769266478161
"ILR1","AMP",6.5,0.872583415855683
"ILR1","AMP",6.6,0.868356113587431
"ILR1","AMP",6.7,0.864802220506834
"ILR1","AMP",6.8,0.861632858940649
"ILR1","AMP",6.9,0.858559151215637
"ILR1","AMP",7,0.855294347704671
"ILR1","AMP",7.1,0.851737104798426
"ILR1","AMP",7.2,0.848112733966274
"ILR1","AMP",7.3,0.844679797398144
"ILR1","AMP",7.4,0.841696857283963
"ILR1","AMP",7.5,0.839422475813659
"ILR1","AMP",7.6,0.838078486487488
"ILR1","AMP",7.7,0.837660059179182
"ILR1","AMP",7.8,0.838075983325655
"ILR1","AMP",7.9,0.839234878323594
"ILR1","AMP",8,0.841045363569683
"ILR1","AMP",8.1,0.843415613578086
"ILR1","AMP",8.2,0.846239105262616
"ILR1","AMP",8.3,0.849391602621869
"ILR1","AMP",8.4,0.852747815118091
"ILR1","AMP",8.5,0.85618245221353
"ILR1","AMP",8.6,0.859570223370433
"ILR1","AMP",8.7,0.862807334610769
"ILR1","AMP",8.8,0.865875978195401
"ILR1","AMP",8.9,0.86877984294491
"ILR1","AMP",9,0.871522617679883
"ILR1","AMP",9.1,0.874107991220903
"ILR1","AMP",9.2,0.876537321587122
"ILR1","AMP",9.3,0.878772816617378
"ILR1","AMP",9.4,0.880744198605544
"ILR1","AMP",9.5,0.882380206538639
"ILR1","AMP",9.6,0.883609579403679
"ILR1","AMP",9.7,0.884361181376313
"ILR1","AMP",9.8,0.884627472455532
"ILR1","AMP",9.9,0.884567789082298
"ILR1","AMP",10,0.884368508441357
"ILR1","AMP",10.1,0.884216007717454
"ILR1","AMP",10.2,0.884296664095335
"ILR1","AMP",10.3,0.884776275185863
"ILR1","AMP",10.4,0.885618464866073
"ILR1","AMP",10.5,0.886672105309029
"ILR1","AMP",10.6,0.887784751595068
"ILR1","AMP",10.7,0.888803958804523
"ILR1","AMP",10.8,0.889578121744504
"ILR1","AMP",10.9,0.890028796417155
"ILR1","AMP",11,0.890206436884169
"ILR1","AMP",11.1,0.890174617938056
"ILR1","AMP",11.2,0.889996914371327
"ILR1","AMP",11.3,0.889736900976493
"ILR1","AMP",11.4,0.88945513792152
"ILR1","AMP",11.5,0.889193581233087
"ILR1","AMP",11.6,0.888987096987554
